Date;Tipe;Vaule
2023-02-05;Deposit;20
2023-02-05;Withdrawal;20
2023-04-11;Deposit;17,39
2023-04-30;Deposit;20
2023-05-01;Deposit;20
2023-05-04;Withdrawal;31,15
2023-05-21;Deposit;20
2023-05-22;Withdrawal;92,11
2023-05-25;Deposit;10
2023-05-25;Deposit;10
2023-05-25;Withdrawal;24,2
2023-05-31;Deposit;10
2023-06-11;Deposit;10
2023-06-13;Deposit;10
2023-06-13;Deposit;10
2023-06-13;Deposit;10
2023-06-13;Deposit;10
2023-06-24;Deposit;20
2023-06-27;Deposit;10
2023-06-28;Deposit;22
2023-07-12;Withdrawal;23,5
2023-09-24;Deposit;20
2023-09-24;Withdrawal;20
2024-02-05;Deposit;20
2024-02-09;Deposit;10
2024-02-09;Withdrawal;58,68
2024-02-09;Withdrawal;58,48
2024-02-10;Withdrawal;60,98
2024-02-15;Withdrawal;13,5
2024-02-17;Deposit;60
2024-02-18;Withdrawal;112,3
2024-06-17;Deposit;50
2024-07-06;Withdrawal;64,15
2024-08-05;Deposit;15
2024-09-11;Deposit;20
2024-12-24;Withdrawal;5,08
2025-01-01;Deposit;20
2025-01-01;Deposit;20
2025-01-03;Withdrawal;24,35
2025-01-10;Deposit;2
2025-01-10;Withdrawal;1,67
2025-01-14;Deposit;10
2025-01-14;Withdrawal;14,5
2025-01-21;Deposit;10
2025-01-21;Deposit;10
2025-01-25;Withdrawal;7,11
2025-01-29;Deposit;5
2025-01-29;Withdrawal;6,64
2025-01-31;Deposit;20
2025-02-04;Deposit;10
2025-02-04;Withdrawal;32,2
2025-02-04;Withdrawal;10
2025-02-07;Deposit;1,89
2025-02-07;Withdrawal;25,21
2025-02-14;Deposit;1
2025-02-14;Deposit;1
2025-02-28;Deposit;1,97
2025-04-06;Deposit;20
2025-04-06;Deposit;2,7
2025-04-07;Deposit;20
2025-04-07;Withdrawal;20
2025-04-07;Withdrawal;20
2025-04-09;Deposit;40
2025-04-09;Deposit;20
2025-04-09;Withdrawal;20
2025-04-09;Withdrawal;40,85
2025-04-09;Withdrawal;40,85
2025-04-10;Deposit;1
2025-04-12;Deposit;40,85
2025-04-12;Withdrawal;41,38
2025-04-21;Deposit;20
2025-04-21;Withdrawal;20,4
2025-04-21;Withdrawal;20
2025-04-21;Withdrawal;20,78
2025-05-09;Deposit;0,95
2025-05-31;Deposit;4,93
2025-06-01;Deposit;5
2025-06-01;Deposit;1
2025-06-10;Deposit;9,91
2025-06-10;Deposit;2
2025-06-10;Deposit;5
2025-06-19;Deposit;20
2025-06-27;Deposit;20
2025-06-27;Withdrawal;20
2025-07-02;Withdrawal;52,44
2025-10-01;Deposit;10
2025-10-03;Withdrawal;27,31
2025-11-24;Deposit;100
2025-11-27;Withdrawal;148,61
2025-11-28;Deposit;100
2025-11-30;Withdrawal;80,12
2025-12-26;Deposit;100
2025-12-28;Withdrawal;132,27
2026-01-26;Deposit;20
2026-01-28;Deposit;100
2026-01-31;Withdrawal;90,12
