Date;Tipe;Vaule
2023-07-10;Deposit;20,00
2023-07-13;Withdrawal;37,00
2023-07-16;Deposit;15,00
2023-07-17;Withdrawal;15,00
2023-07-31;Deposit;20,00
2023-07-31;Withdrawal;20,00
2023-08-01;Deposit;10,00
2023-08-02;Withdrawal;10,00
2023-08-06;Deposit;10,00
2023-08-06;Withdrawal;8,00
2023-08-08;Deposit;20,00
2023-08-08;Withdrawal;10,00
2023-08-09;Withdrawal;62,50
2023-08-10;Deposit;10,00
2023-08-11;Deposit;20,00
2023-08-11;Deposit;10,00
2023-08-11;Deposit;10,00
2023-08-12;Withdrawal;30,07
2023-08-13;Deposit;10,00
2023-08-13;Deposit;10,00
2023-08-15;Deposit;20,00
2023-08-16;Deposit;10,00
2023-08-18;Deposit;10,00
2023-08-18;Withdrawal;8,00
2023-08-19;Deposit;10,00
2023-08-19;Withdrawal;8,00
2023-08-20;Deposit;10,00
2023-08-21;Deposit;10,00
2023-08-21;Withdrawal;10,00
2023-08-24;Deposit;20,00
2023-08-24;Withdrawal;17,00
2023-09-02;Deposit;20,00
2023-09-08;Deposit;20,00
2023-09-08;Withdrawal;18,00
2023-09-09;Deposit;10,00
2023-09-09;Deposit;10,00
2023-09-09;Withdrawal;8,00
2023-09-09;Withdrawal;8,00
2023-09-10;Withdrawal;6,00
2023-09-15;Deposit;20,00
2023-09-15;Withdrawal;15,00
2023-09-18;Deposit;10,00
2023-09-23;Deposit;20,00
2023-09-23;Deposit;10,00
2023-09-23;Withdrawal;20,00
2023-09-24;Deposit;10,00
2023-09-25;Deposit;10,00
2023-09-26;Deposit;10,00
2023-09-26;Deposit;10,00
2023-09-26;Withdrawal;8,47
2023-09-26;Withdrawal;8,00
2023-09-27;Deposit;10,00
2023-09-27;Deposit;20,00
2023-09-27;Deposit;10,00
2023-09-27;Withdrawal;8,00
2023-09-27;Withdrawal;8,00
2023-09-28;Deposit;10,00
2023-09-28;Withdrawal;5,27
2023-09-29;Deposit;10,00
2023-10-01;Deposit;10,00
2023-10-01;Deposit;10,00
2023-10-01;Withdrawal;7,00
2023-10-01;Withdrawal;8,00
2023-10-02;Deposit;10,00
2023-10-02;Deposit;10,00
2023-10-02;Deposit;10,00
2023-10-02;Withdrawal;8,60
2023-10-02;Withdrawal;9,00
2023-10-02;Withdrawal;9,00
2023-10-03;Deposit;10,00
2023-10-03;Deposit;10,00
2023-10-03;Deposit;15,00
2023-10-03;Withdrawal;9,00
2023-10-03;Withdrawal;6,47
2023-10-05;Deposit;10,00
2023-10-06;Deposit;10,00
2023-10-06;Withdrawal;8,37
2023-10-07;Deposit;10,00
2023-10-07;Deposit;10,00
2023-10-08;Deposit;10,00
2023-10-09;Deposit;10,00
2023-10-09;Deposit;10,00
2023-10-09;Withdrawal;8,00
2023-10-15;Deposit;10,00
2023-10-15;Deposit;19,99
2023-10-15;Withdrawal;10,00
2023-10-23;Deposit;20,00
2023-10-23;Deposit;13,90
2023-10-25;Deposit;12,00
2023-10-26;Deposit;10,00
2023-10-26;Withdrawal;8,00
2023-10-27;Deposit;22,43
2023-10-29;Deposit;20,00
2023-10-29;Withdrawal;33,99
2023-11-01;Deposit;10,00
2023-11-02;Deposit;10,00
2023-11-03;Deposit;10,00
2023-11-04;Deposit;10,00
2023-11-04;Withdrawal;8,00
2023-11-05;Deposit;10,00
2023-11-05;Withdrawal;8,00
2023-11-06;Deposit;10,00
2023-11-07;Deposit;10,00
2023-11-11;Deposit;10,00
2023-11-13;Deposit;10,00
2023-11-13;Withdrawal;9,00
2023-11-15;Deposit;10,00
2023-11-17;Deposit;10,00
2023-11-25;Deposit;20,00
